Gender,Married,Dependents,Education,Employment Status,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
Male,No,0,Graduate,Unemployed,51188,38396,505150,240,1,Urban,Y
Male,No,1,Graduate,Self-Employed,20845,51002,559551,300,1,Semiurban,Y
Male,No,0,Graduate,Unemployed,101698,25058,563942,120,1,Urban,Y
Female,Yes,0,Graduate,Salaried,51674,14135,759676,240,1,Semiurban,Y
Female,No,0,Graduate,Unemployed,34337,35099,55520,180,1,Urban,Y
Female,No,1,Graduate,Self-Employed,37313,28854,684102,300,1,Semiurban,N
Male,No,0,Graduate,Self-Employed,41943,25058,217527,240,1,Rural,Y
Male,Yes,2,Graduate,Unemployed,92949,57314,697652,120,1,Urban,Y
Male,Yes,0,Graduate,Self-Employed,15276,25127,589243,360,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,66151,50740,225121,360,1,Urban,Y
Male,No,0,Graduate,Unemployed,32611,15195,719277,120,1,Semiurban,Y
Male,Yes,2,Graduate,Self-Employed,119641,25313,521797,120,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,26944,57851,300144,360,1,Semiurban,Y
Female,No,1,Graduate,Salaried,67887,7179,114925,240,0,Semiurban,N
Male,Yes,2,Not Graduate,Self-Employed,96442,50740,419360,360,0,Rural,N
Male,Yes,1,Graduate,Unemployed,64847,23020,644557,120,1,Urban,Y
Male,Yes,0,Not Graduate,Salaried,73653,7176,353602,300,1,Urban,Y
Male,No,0,Graduate,Salaried,101072,23852,401181,180,1,Rural,Y
Male,Yes,2,Graduate,Unemployed,71622,24702,726473,300,1,Semiurban,Y
Male,No,0,Graduate,Salaried,42810,17996,149977,300,1,Rural,Y
Female,Yes,2,Not Graduate,Self-Employed,92842,22076,555838,120,0,Semiurban,Y
Female,No,0,Graduate,Salaried,25503,24164,569163,360,1,Rural,N
Female,Yes,3+,Not Graduate,Salaried,99761,27357,533442,240,0,Semiurban,N
Female,Yes,2,Not Graduate,Unemployed,51976,45546,79345,300,1,Semiurban,Y
Male,No,3+,Graduate,Self-Employed,26590,7871,422251,360,1,Rural,N
Female,Yes,0,Graduate,Self-Employed,25886,14171,543814,240,1,Semiurban,Y
Male,Yes,2,Graduate,Self-Employed,27866,51956,381310,300,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,81624,6132,753221,240,1,Urban,Y
Male,No,0,Not Graduate,Unemployed,83899,25584,147406,360,1,Urban,Y
Male,Yes,1,Not Graduate,Self-Employed,47792,24702,361442,180,1,Urban,Y
Male,No,2,Graduate,Self-Employed,24764,28816,357086,360,0,Urban,N
Male,Yes,3+,Graduate,Self-Employed,101156,25127,577741,120,1,Semiurban,Y
Female,Yes,2,Not Graduate,Salaried,57727,35099,677099,240,0,Semiurban,N
Male,Yes,0,Graduate,Salaried,93471,20515,629223,180,0,Semiurban,N
Male,Yes,0,Not Graduate,Salaried,23068,51002,434583,240,0,Semiurban,N
Male,Yes,2,Graduate,Self-Employed,22295,46075,748730,240,1,Urban,Y
Male,Yes,0,Graduate,Self-Employed,56160,47589,65534,300,1,Urban,Y
Female,Yes,0,Graduate,Salaried,26390,45386,610608,120,0,Urban,N
Male,No,0,Graduate,Salaried,35131,57314,623458,240,1,Semiurban,Y
Female,Yes,0,Graduate,Unemployed,109754,7179,150546,360,1,Urban,Y
Female,Yes,0,Graduate,Salaried,90969,32413,654489,360,1,Urban,Y
Male,No,0,Graduate,Self-Employed,30038,20514,320784,300,1,Semiurban,N
Male,Yes,0,Not Graduate,Unemployed,67327,45546,281324,120,1,Rural,Y
Female,Yes,0,Not Graduate,Salaried,108718,39681,534273,120,1,Urban,Y
Male,No,3+,Graduate,Salaried,92064,50740,735409,360,1,Semiurban,Y
Male,No,0,Graduate,Unemployed,36281,14171,448834,180,0,Semiurban,N
Female,Yes,0,Graduate,Self-Employed,69189,9557,283612,300,1,Rural,Y
Male,No,1,Graduate,Self-Employed,63511,30242,761413,300,0,Rural,N
Male,Yes,0,Graduate,Salaried,23605,48178,356081,360,1,Urban,Y
Male,Yes,3+,Graduate,Salaried,115318,48463,775084,360,0,Urban,N
Female,Yes,2,Graduate,Unemployed,16381,17996,193279,180,1,Rural,Y
Male,No,0,Graduate,Unemployed,81634,25313,246846,180,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,34810,25022,738332,120,1,Semiurban,Y
Male,Yes,2,Graduate,Salaried,39322,34961,454015,300,0,Semiurban,N
Male,Yes,3+,Not Graduate,Unemployed,56869,48178,776448,300,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,47955,9956,472132,360,0,Rural,Y
Male,Yes,1,Graduate,Self-Employed,76388,25331,120463,120,0,Rural,Y
Male,Yes,0,Graduate,Self-Employed,25207,46560,143500,300,1,Semiurban,Y
Female,Yes,3+,Graduate,Salaried,102329,57938,257772,120,1,Urban,Y
Male,Yes,0,Graduate,Salaried,82628,23060,611446,120,1,Rural,Y
Male,Yes,3+,Graduate,Salaried,43220,9956,134607,360,1,Urban,Y
Male,Yes,1,Not Graduate,Self-Employed,99050,17297,383840,120,0,Urban,N
Female,Yes,1,Graduate,Self-Employed,118546,57771,170076,180,1,Rural,Y
Male,Yes,0,Graduate,Salaried,89085,48361,108692,180,1,Urban,Y
Female,No,0,Not Graduate,Unemployed,37031,13155,705129,240,0,Urban,N
Male,Yes,0,Graduate,Self-Employed,85721,47998,767104,360,1,Urban,Y
Male,No,0,Graduate,Self-Employed,95807,23020,211081,240,0,Rural,N
Male,Yes,0,Graduate,Self-Employed,86312,7871,161718,180,1,Semiurban,Y
Male,Yes,2,Graduate,Salaried,74766,29532,403076,240,1,Semiurban,Y
Male,Yes,0,Not Graduate,Self-Employed,27449,51956,574480,360,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,104833,40219,297536,360,1,Rural,Y
Male,Yes,3+,Graduate,Unemployed,71699,8696,86413,120,1,Rural,Y
Male,Yes,2,Graduate,Self-Employed,96253,32413,193888,300,1,Urban,Y
Male,Yes,3+,Graduate,Unemployed,119769,25022,613370,120,1,Semiurban,Y
Female,Yes,3+,Graduate,Self-Employed,61092,7179,697418,360,1,Urban,Y
Male,Yes,0,Graduate,Salaried,78671,56313,625228,180,1,Rural,Y
Male,Yes,0,Graduate,Salaried,25350,6105,737490,180,1,Semiurban,N
Female,Yes,2,Not Graduate,Unemployed,111158,27626,614430,120,1,Rural,Y
Male,Yes,1,Graduate,Unemployed,115859,45546,572780,360,1,Urban,Y
Male,No,0,Graduate,Salaried,83487,28816,86468,180,1,Rural,Y
Male,Yes,2,Not Graduate,Salaried,32622,48361,716015,360,1,Rural,Y
Male,No,0,Graduate,Unemployed,85263,54812,228969,180,1,Semiurban,Y
Female,Yes,0,Graduate,Self-Employed,68117,20417,473291,360,1,Rural,Y
Female,Yes,0,Graduate,Self-Employed,118990,24710,545413,240,1,Semiurban,Y
Male,No,1,Graduate,Unemployed,73394,47998,286187,360,1,Urban,Y
Female,No,1,Graduate,Self-Employed,117005,30242,92056,360,0,Semiurban,Y
Female,Yes,0,Not Graduate,Salaried,116084,57851,101831,120,1,Semiurban,Y
Male,Yes,2,Graduate,Salaried,38782,0,476488,240,1,Semiurban,Y
Female,No,0,Graduate,Unemployed,43454,14135,682405,300,1,Urban,Y
Male,No,0,Not Graduate,Salaried,82904,30242,326815,120,1,Semiurban,Y
Female,Yes,2,Graduate,Self-Employed,30592,50740,339192,300,0,Urban,N
Female,Yes,3+,Graduate,Self-Employed,37173,48361,618242,180,1,Semiurban,Y
Male,Yes,2,Graduate,Self-Employed,48204,17297,515525,300,1,Semiurban,Y
Male,Yes,2,Not Graduate,Salaried,50596,25127,283192,360,1,Semiurban,Y
Male,Yes,1,Graduate,Self-Employed,49324,38467,407574,300,1,Urban,Y
Male,Yes,1,Graduate,Self-Employed,76202,17602,575005,120,1,Semiurban,Y
Female,Yes,0,Graduate,Salaried,104400,20515,323820,120,1,Urban,Y
Female,No,0,Graduate,Salaried,45750,57851,447650,300,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,91112,17424,230882,120,1,Rural,Y
Male,Yes,0,Graduate,Salaried,31566,24164,168696,120,1,Rural,Y
Male,No,2,Not Graduate,Salaried,22190,8696,54994,300,1,Semiurban,Y
Male,No,0,Graduate,Salaried,103607,27357,119300,240,1,Rural,Y
Male,Yes,0,Graduate,Unemployed,53333,48361,356093,240,1,Rural,Y
Male,Yes,0,Not Graduate,Salaried,95905,6105,611693,180,0,Rural,N
Female,Yes,1,Not Graduate,Self-Employed,104571,38396,347016,120,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,16589,25584,354359,300,0,Rural,N
Male,Yes,2,Graduate,Self-Employed,40235,14171,597473,120,1,Semiurban,Y
Male,Yes,0,Graduate,Salaried,15159,24149,748802,360,1,Urban,Y
Male,Yes,0,Not Graduate,Self-Employed,27145,57160,566479,120,1,Urban,Y
Female,Yes,1,Not Graduate,Self-Employed,95909,56313,494975,120,1,Semiurban,Y
Female,Yes,2,Graduate,Salaried,46921,48361,389679,240,1,Urban,Y
Male,Yes,0,Not Graduate,Self-Employed,119859,29729,707941,300,1,Urban,Y
Male,Yes,1,Graduate,Salaried,31237,15521,101717,120,1,Urban,Y
Male,Yes,1,Graduate,Unemployed,23244,24710,52763,240,0,Rural,N
Male,Yes,0,Graduate,Salaried,29743,9557,405054,180,1,Rural,Y
Male,No,2,Not Graduate,Self-Employed,112102,23060,105480,240,1,Urban,Y
Male,Yes,2,Graduate,Salaried,61101,47998,744119,240,1,Rural,Y
Male,No,1,Not Graduate,Salaried,99227,51956,257139,240,1,Rural,Y
Male,No,2,Not Graduate,Unemployed,114532,23601,168094,120,1,Rural,Y
Male,Yes,2,Graduate,Unemployed,71378,31536,730667,120,1,Urban,Y
Female,Yes,1,Graduate,Salaried,86126,32228,585352,180,0,Semiurban,N
Male,Yes,2,Graduate,Self-Employed,71071,7787,126848,360,0,Rural,N
Male,Yes,1,Graduate,Unemployed,86121,39681,611836,360,1,Semiurban,Y
Male,No,1,Graduate,Unemployed,89763,46075,218017,360,1,Urban,Y
Female,Yes,1,Graduate,Unemployed,108814,6196,494972,180,0,Semiurban,N
Male,Yes,2,Not Graduate,Unemployed,119350,41777,576670,360,1,Semiurban,Y
Male,Yes,0,Graduate,Unemployed,27237,17297,492899,360,1,Semiurban,Y
Female,Yes,2,Graduate,Salaried,30649,22076,531215,240,1,Urban,Y
Male,Yes,2,Graduate,Salaried,52713,46045,750636,120,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,88463,54812,535097,120,1,Rural,Y
Male,Yes,2,Graduate,Salaried,60409,9956,553516,240,1,Rural,Y
Male,No,0,Graduate,Unemployed,63766,42212,470162,240,1,Urban,Y
Male,Yes,0,Not Graduate,Unemployed,61154,31536,653986,240,1,Rural,Y
Male,Yes,2,Graduate,Unemployed,22016,17424,95095,120,1,Urban,Y
Male,Yes,0,Not Graduate,Unemployed,94563,44065,523146,360,1,Semiurban,Y
Female,Yes,2,Not Graduate,Salaried,63688,38396,442118,240,1,Rural,Y
Male,Yes,2,Graduate,Self-Employed,104678,7176,596298,180,1,Rural,Y
Male,Yes,0,Not Graduate,Salaried,69238,31536,467339,240,1,Rural,Y
Male,Yes,0,Graduate,Self-Employed,73608,56313,400067,300,1,Urban,Y
Male,Yes,0,Not Graduate,Salaried,104081,35099,708250,240,1,Rural,Y
Male,Yes,1,Graduate,Self-Employed,46897,20514,442670,120,0,Urban,N
Male,No,3+,Not Graduate,Unemployed,65961,26904,159162,240,0,Semiurban,N
Male,Yes,1,Not Graduate,Self-Employed,83703,17424,433071,300,1,Semiurban,Y
Male,Yes,0,Not Graduate,Unemployed,59757,20515,320170,180,1,Semiurban,Y
Male,Yes,1,Not Graduate,Unemployed,41917,57160,377069,360,1,Urban,Y
Male,No,0,Graduate,Unemployed,37736,57314,643130,240,1,Rural,Y
Male,Yes,2,Graduate,Salaried,42990,12812,345809,300,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,77551,9967,321421,300,1,Urban,Y
Female,No,2,Graduate,Unemployed,73161,25584,223311,180,1,Semiurban,Y
Male,No,0,Graduate,Salaried,94623,26904,490880,120,1,Semiurban,Y
Male,No,3+,Graduate,Self-Employed,37440,32228,706030,240,1,Rural,N
Male,Yes,0,Not Graduate,Self-Employed,50205,57938,270283,300,1,Semiurban,Y
Female,Yes,1,Graduate,Salaried,95811,27626,723249,180,1,Urban,Y
Female,No,3+,Not Graduate,Salaried,70103,23753,498828,360,1,Rural,Y
Male,No,0,Graduate,Salaried,85812,28854,749895,300,0,Semiurban,N
Male,Yes,3+,Not Graduate,Unemployed,56627,51956,390686,180,0,Urban,N
Female,Yes,1,Not Graduate,Salaried,118032,58574,366463,120,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,34008,14135,295144,120,1,Semiurban,Y
Male,No,0,Graduate,Salaried,86274,33247,726999,300,1,Semiurban,Y
Male,Yes,1,Not Graduate,Salaried,47402,48463,245784,300,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,68384,50740,381119,240,1,Rural,Y
Female,Yes,1,Graduate,Salaried,20793,7179,213244,180,1,Rural,Y
Female,Yes,0,Graduate,Self-Employed,117827,34961,502413,300,1,Semiurban,Y
Male,Yes,1,Graduate,Unemployed,20571,23852,151158,240,1,Urban,Y
Male,Yes,0,Graduate,Self-Employed,111867,39681,113972,240,1,Rural,Y
Male,Yes,2,Graduate,Salaried,31209,58521,533007,300,1,Semiurban,Y
Male,Yes,3+,Graduate,Self-Employed,105930,29729,484219,120,1,Semiurban,Y
Female,Yes,3+,Graduate,Unemployed,58148,48178,332140,180,1,Semiurban,Y
Female,Yes,2,Not Graduate,Self-Employed,106218,31536,675210,180,0,Rural,N
Female,Yes,0,Graduate,Self-Employed,17224,45546,610219,120,1,Semiurban,Y
Male,Yes,2,Not Graduate,Self-Employed,63695,39540,698456,300,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,47441,26904,216782,180,0,Semiurban,N
Male,Yes,0,Graduate,Self-Employed,54129,34961,173099,300,0,Rural,N
Female,Yes,0,Graduate,Unemployed,115252,44065,608981,300,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,77368,8583,158944,240,0,Rural,N
Male,No,2,Graduate,Unemployed,107122,25058,798943,120,1,Semiurban,Y
Male,Yes,1,Graduate,Self-Employed,59760,14256,781862,300,1,Semiurban,N
Male,No,0,Graduate,Salaried,38478,32691,297572,360,1,Urban,N
Male,Yes,0,Graduate,Self-Employed,86854,20514,393615,120,1,Urban,Y
Male,No,3+,Graduate,Unemployed,109230,8583,620201,180,1,Rural,Y
Male,No,0,Graduate,Salaried,100716,29532,247097,240,1,Urban,Y
Male,Yes,0,Graduate,Self-Employed,27180,17424,662084,180,1,Rural,Y
Male,Yes,0,Not Graduate,Self-Employed,113538,44065,338213,180,1,Semiurban,Y
Male,Yes,2,Graduate,Unemployed,30372,32691,134811,120,1,Urban,Y
Male,Yes,1,Graduate,Salaried,44796,50740,240121,180,1,Urban,Y
Male,No,0,Not Graduate,Unemployed,73272,48896,430172,300,1,Semiurban,N
Male,No,0,Graduate,Unemployed,104963,39681,613466,180,1,Rural,Y
Male,No,1,Graduate,Unemployed,113826,35099,504151,240,1,Semiurban,Y
Male,Yes,1,Not Graduate,Unemployed,108635,9956,591287,240,0,Semiurban,N
Female,No,0,Graduate,Self-Employed,69040,6196,505738,360,1,Urban,Y
Male,No,3+,Graduate,Unemployed,90357,57314,350856,240,1,Semiurban,Y
Male,Yes,0,Graduate,Salaried,86368,47589,245623,180,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,93356,9967,745532,240,1,Rural,Y
Male,No,3+,Graduate,Self-Employed,31211,7871,345866,120,1,Semiurban,Y
Male,Yes,0,Graduate,Salaried,20842,35099,248237,240,1,Semiurban,Y
Male,No,1,Graduate,Self-Employed,78115,20417,581147,300,1,Urban,Y
Female,Yes,0,Graduate,Unemployed,81852,19534,685274,120,1,Rural,Y
Male,No,0,Not Graduate,Salaried,60968,14171,333983,360,0,Urban,N
Female,Yes,3+,Not Graduate,Salaried,32508,30242,339360,300,1,Urban,N
Male,Yes,0,Graduate,Unemployed,37005,51956,527697,180,1,Semiurban,Y
Female,Yes,2,Graduate,Self-Employed,69575,6196,503809,180,0,Semiurban,N
Male,No,0,Graduate,Self-Employed,95742,20515,99522,180,1,Semiurban,Y
Male,No,0,Graduate,Self-Employed,33971,24164,280233,300,1,Semiurban,N
Male,Yes,0,Graduate,Self-Employed,40599,25313,448102,300,1,Rural,Y
Male,Yes,1,Graduate,Salaried,102592,23852,423393,300,1,Urban,Y
Male,No,0,Not Graduate,Self-Employed,81914,30792,57485,120,1,Rural,Y
Male,Yes,2,Graduate,Unemployed,82055,51002,474671,120,1,Semiurban,Y
Male,No,0,Graduate,Salaried,102697,41777,162701,180,1,Semiurban,Y
Male,Yes,3+,Graduate,Self-Employed,119397,51002,257352,240,1,Semiurban,Y
Male,Yes,0,Graduate,Salaried,20355,9967,676926,180,1,Urban,Y
Female,Yes,2,Not Graduate,Unemployed,69120,25313,234514,360,1,Rural,Y
Female,Yes,2,Not Graduate,Salaried,89619,38467,495093,120,1,Semiurban,Y
Female,No,2,Not Graduate,Salaried,53342,23753,667693,300,0,Urban,N
Male,Yes,2,Graduate,Self-Employed,100992,42212,260048,120,1,Semiurban,Y
Male,Yes,2,Graduate,Salaried,93860,10722,737069,300,1,Rural,Y
Female,No,1,Graduate,Self-Employed,17257,39540,87019,360,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,42364,6105,311497,360,1,Rural,Y
Female,Yes,0,Graduate,Unemployed,39972,57938,639421,120,1,Urban,Y
Female,No,3+,Not Graduate,Unemployed,41654,50740,771818,300,1,Urban,Y
Female,Yes,1,Graduate,Unemployed,95769,27601,429747,360,0,Urban,N
Male,Yes,2,Graduate,Salaried,96423,15521,208598,180,0,Semiurban,Y
Male,No,0,Graduate,Self-Employed,44320,57314,702873,180,1,Urban,Y
Female,Yes,0,Graduate,Self-Employed,35808,42212,495414,300,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,67389,57938,542750,120,1,Rural,Y
Male,Yes,1,Not Graduate,Self-Employed,110690,29532,467247,360,1,Rural,Y
Male,No,0,Not Graduate,Salaried,49773,20417,518758,120,1,Semiurban,Y
Female,Yes,0,Not Graduate,Unemployed,66168,17424,700102,180,1,Urban,N
Male,Yes,0,Graduate,Unemployed,42747,46075,424743,360,1,Urban,Y
Male,No,0,Graduate,Salaried,91396,35099,75939,120,1,Urban,Y
Male,No,1,Graduate,Self-Employed,98692,48896,203939,240,1,Semiurban,Y
Male,Yes,0,Graduate,Self-Employed,72505,57314,665168,300,0,Rural,N
Female,Yes,2,Not Graduate,Self-Employed,100896,25127,578036,300,1,Semiurban,Y
Male,Yes,0,Graduate,Unemployed,33135,35099,286094,240,1,Urban,Y
Male,No,0,Graduate,Self-Employed,105887,39540,429413,180,1,Semiurban,Y
Female,Yes,0,Graduate,Salaried,111035,15521,201956,360,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,62377,24164,206255,300,1,Semiurban,Y
Male,No,0,Not Graduate,Salaried,38554,25127,514462,240,1,Semiurban,Y
Male,No,0,Graduate,Self-Employed,77491,38396,724619,240,1,Semiurban,Y
Male,Yes,1,Graduate,Unemployed,70621,48410,741319,180,1,Urban,Y
Male,No,0,Graduate,Salaried,73283,38396,476673,180,1,Urban,Y
Female,Yes,1,Graduate,Self-Employed,100140,25584,397823,120,1,Rural,Y
Female,No,2,Not Graduate,Salaried,31923,37598,175829,300,1,Urban,Y
Female,Yes,2,Not Graduate,Unemployed,62591,27357,178216,120,0,Urban,N
Female,Yes,0,Not Graduate,Salaried,77261,23020,640189,240,1,Urban,Y
Male,No,0,Not Graduate,Salaried,69336,50607,225607,360,1,Urban,Y
Male,Yes,0,Graduate,Salaried,89083,27626,459319,360,1,Semiurban,Y
Female,Yes,0,Graduate,Salaried,75948,7787,672334,180,0,Rural,N
Male,No,3+,Graduate,Self-Employed,48002,26904,402156,360,1,Urban,Y
Male,No,0,Graduate,Self-Employed,95098,33247,652566,360,1,Semiurban,Y
Female,Yes,0,Not Graduate,Salaried,88016,10722,324535,360,1,Semiurban,Y
Female,No,1,Graduate,Salaried,41672,57938,152476,240,1,Semiurban,Y
Male,Yes,1,Not Graduate,Salaried,19213,24702,432865,360,1,Rural,Y
Male,Yes,1,Graduate,Salaried,25293,48463,671825,360,1,Rural,Y
Male,Yes,0,Graduate,Salaried,114977,32236,231429,360,0,Urban,N
Male,Yes,0,Graduate,Salaried,70860,32228,267980,120,1,Rural,Y
Male,No,0,Not Graduate,Unemployed,77507,24149,553551,240,1,Semiurban,Y
Male,Yes,0,Graduate,Unemployed,72134,30242,536675,180,1,Rural,Y
Male,Yes,0,Graduate,Salaried,17100,48410,125403,120,1,Semiurban,Y
Male,Yes,0,Graduate,Salaried,76997,42212,638574,300,0,Rural,N
Male,No,0,Graduate,Self-Employed,43172,23753,386986,240,1,Rural,Y
Male,Yes,0,Graduate,Unemployed,35132,48410,154927,240,1,Urban,Y
Male,Yes,0,Not Graduate,Self-Employed,33199,25127,535833,300,1,Semiurban,Y
Female,Yes,1,Graduate,Unemployed,51609,25313,493842,300,1,Rural,Y
Male,Yes,1,Graduate,Unemployed,57965,23753,349372,300,1,Rural,Y
Male,Yes,2,Graduate,Salaried,23016,9967,73386,180,1,Urban,Y
Male,No,0,Graduate,Self-Employed,54779,24164,227826,360,0,Semiurban,N
Female,No,0,Graduate,Unemployed,117797,12812,554158,240,0,Urban,Y
Male,Yes,0,Graduate,Unemployed,46881,20417,340446,360,1,Urban,Y
Male,No,1,Graduate,Self-Employed,97594,45386,372959,360,0,Semiurban,Y
Male,No,1,Graduate,Self-Employed,39472,25058,302156,300,1,Urban,Y
Male,No,0,Not Graduate,Self-Employed,115462,17297,519450,180,1,Rural,Y
Male,Yes,3+,Not Graduate,Self-Employed,66813,48463,373258,120,1,Urban,Y
Male,Yes,0,Graduate,Self-Employed,115368,29729,298724,180,1,Rural,Y
Male,Yes,0,Graduate,Unemployed,51021,17424,251202,360,1,Urban,Y
Male,Yes,1,Graduate,Self-Employed,69131,30792,75525,180,1,Urban,Y
Female,No,2,Not Graduate,Unemployed,39087,20514,129818,300,1,Urban,N
Male,No,1,Graduate,Self-Employed,27828,23020,164589,120,1,Urban,Y
Male,No,2,Graduate,Self-Employed,76610,17602,195406,300,1,Urban,Y
Female,Yes,0,Graduate,Self-Employed,111664,44065,669003,120,1,Urban,Y
Male,Yes,2,Graduate,Salaried,16401,47998,243839,360,1,Semiurban,Y
Male,No,0,Graduate,Unemployed,100179,40219,413298,120,1,Urban,Y
Male,No,2,Not Graduate,Salaried,30193,57851,556453,120,1,Semiurban,Y
Male,Yes,0,Graduate,Salaried,107389,9956,307438,120,1,Semiurban,Y
Female,No,2,Graduate,Unemployed,59864,9557,476903,180,0,Rural,N
Female,No,0,Graduate,Salaried,35307,9956,495872,180,1,Rural,Y
Male,Yes,1,Not Graduate,Self-Employed,117518,33247,460591,360,1,Semiurban,Y
Male,Yes,0,Graduate,Unemployed,34611,42212,557235,120,0,Urban,N
Male,Yes,2,Not Graduate,Self-Employed,58791,51956,563951,240,1,Urban,Y
Male,Yes,0,Graduate,Salaried,26950,56313,377350,360,1,Rural,Y
Male,Yes,0,Graduate,Unemployed,91240,31536,741967,120,1,Urban,Y
Male,No,0,Graduate,Salaried,92403,32236,657466,120,0,Urban,N
Male,Yes,0,Graduate,Salaried,17745,27626,749746,180,1,Urban,N
Male,Yes,2,Graduate,Salaried,70243,23020,489503,360,1,Urban,Y
Male,Yes,0,Not Graduate,Salaried,18866,25058,136724,120,1,Urban,Y
Female,Yes,3+,Graduate,Self-Employed,47245,30792,146393,120,1,Rural,N
Male,No,0,Graduate,Unemployed,59724,9956,650600,360,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,86354,48463,645484,240,1,Semiurban,Y
Male,Yes,2,Not Graduate,Unemployed,66374,45546,644302,360,1,Urban,Y
Male,No,1,Not Graduate,Unemployed,45116,40219,451426,360,0,Urban,N
Male,Yes,0,Graduate,Self-Employed,96029,25022,716282,240,1,Rural,Y
Male,Yes,1,Not Graduate,Unemployed,108574,48463,479505,360,1,Urban,Y
Female,Yes,1,Graduate,Salaried,35447,9557,572313,120,0,Rural,N
Male,Yes,0,Graduate,Unemployed,45431,50607,83340,360,1,Semiurban,Y
Male,Yes,3+,Not Graduate,Unemployed,32908,45386,351994,240,1,Urban,Y
Male,Yes,3+,Not Graduate,Self-Employed,44336,32413,546915,300,1,Rural,N
Male,Yes,1,Graduate,Salaried,55992,48896,687999,360,0,Urban,N
Female,No,0,Graduate,Self-Employed,70350,56313,789538,180,0,Rural,N
Male,Yes,1,Graduate,Unemployed,84561,25208,61094,120,1,Urban,Y
Male,Yes,0,Not Graduate,Unemployed,66955,51956,685873,120,0,Rural,N
Male,Yes,0,Graduate,Unemployed,76240,23852,515590,180,1,Urban,Y
Male,Yes,0,Graduate,Unemployed,35093,38396,560491,180,0,Semiurban,N
